SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Arunachal Pradesh,1916,48.1,69.8,71.1,316.1,424.6,1124.9,NA,629.7,333.9,NA,NA,NA,NA,117.9,811.8,NA,NA
Arunachal Pradesh,1917,21.4,164.5,NA,269.6,107.9,823.8,909.1,628.4,411.5,199.3,63.5,0,NA,185.9,NA,2772.8,262.8
Arunachal Pradesh,1918,10.4,11,191.2,144.6,861.1,1609.9,1303,692.6,515.8,125.2,7.8,13.7,5486.3,21.4,1196.9,4121.3,146.7
Arunachal Pradesh,1919,34.5,67.8,28.5,256.9,420.6,973.6,999,286.7,628.7,948.3,40.7,8.6,4693.9,102.3,706,2888,997.6
Arunachal Pradesh,1920,14,196.3,605.6,364.7,173.6,840.6,535.4,896.5,376.7,103.3,0,0,4106.7,210.3,1143.9,2649.2,103.3
Arunachal Pradesh,1921,78.9,54.3,180.3,358,598,1233.2,1433,885.9,603.4,246.3,4.6,15.5,5691.4,133.2,1136.3,4155.5,266.4
Arunachal Pradesh,1922,50.7,59.4,170.4,299.5,350.5,1109.3,918.7,488.3,207.6,483.5,30.3,19,4187.2,110.1,820.4,2723.9,532.8
Arunachal Pradesh,1923,9.4,160.8,34,240.9,445.4,408.6,1278.5,251.3,617.3,50.1,8.4,2.8,3507.5,170.2,720.3,2555.7,61.3
Arunachal Pradesh,1924,85.7,45.1,74.1,162.4,515.7,1165,942.7,713.8,410.8,303.3,31.9,0,4450.5,130.8,752.2,3232.3,335.2
Arunachal Pradesh,1925,80.6,114,143.3,223,587.2,611.6,611,684.7,1222,153.2,5.1,4.1,4439.8,194.6,953.5,3129.3,162.4
Arunachal Pradesh,1926,38.1,40.8,179.1,249.7,248.1,675.2,978.7,445.6,286.9,311.5,18.6,49.3,3521.6,78.9,676.9,2386.4,379.4
Arunachal Pradesh,1927,48.3,208.5,88.1,384,164,1045.4,923.2,727.8,1108.9,537.2,17.8,0,5253.2,256.8,636.1,3805.3,555
Arunachal Pradesh,1928,48.9,39.7,118.2,123.4,431.9,1168.3,993.6,981.2,706.1,633.5,25.6,2.3,5272.7,88.6,673.5,3849.2,661.4
Arunachal Pradesh,1929,144.8,59.2,124.3,492.3,615.8,853,614.4,670,384.3,188,64.5,109.5,4320.2,204.1,1232.4,2521.8,362
Arunachal Pradesh,1930,64.4,84.3,202.5,565.4,148.9,720.9,376.2,1055.5,637,361.1,93.2,24.9,4334.1,148.7,916.8,2789.5,479.1
Arunachal Pradesh,1931,61.3,189.7,231.6,502.7,277.7,1149.4,1399.9,337.7,480.7,157.4,37.8,46.2,4872.1,251,1012,3367.7,241.3
Arunachal Pradesh,1932,70.2,110.3,105.5,282.7,661.6,1065.2,521.2,907.8,682.9,152.2,231.4,59.9,4850.9,180.5,1049.8,3177.1,443.5
Arunachal Pradesh,1933,56,59.4,101.6,267.9,435.3,782.1,743.2,685.2,376.1,217.9,40.6,8.1,3773.3,115.4,804.8,2586.5,266.6
Arunachal Pradesh,1934,84.9,88.3,128.3,595.1,454.5,1024.6,935.9,640.9,382.6,141.6,77,21.9,4575.7,173.2,1177.9,2984,240.6
Arunachal Pradesh,1935,18.1,143.6,169.7,211.2,299.9,1147.1,489.9,968.8,631.6,21.8,44.4,27.4,4173.7,161.8,680.9,3237.5,93.6
Arunachal Pradesh,1936,105.9,175.2,151.7,374.7,295.7,833.1,1132.8,668.4,584.3,216.5,122.8,127.6,4788.9,281.1,822.2,3218.6,467
Arunachal Pradesh,1937,19.9,105.6,91.2,261,399,456.4,611.6,816.9,339.7,239.8,16.7,17.3,3375.1,125.5,751.2,2224.6,273.8
Arunachal Pradesh,1938,144.8,121.6,340.5,395.3,306.5,1511.3,1355.1,790.8,877.3,220.6,59.7,5.6,6129,266.4,1042.3,4534.5,285.8
Arunachal Pradesh,1939,13.6,140.5,112.7,388.1,314.6,1132.5,838.5,310.2,476.4,157.6,6.2,7.7,3898.7,154.2,815.5,2757.6,171.4
Arunachal Pradesh,1940,12.7,168.5,381.8,133.9,480.5,511,1067.9,340.5,791.4,154.6,12.4,44.3,4099.3,181.2,996.2,2710.7,211.3
Arunachal Pradesh,1941,37.4,101.7,157.9,245.4,652.4,518.1,935.9,729.2,687,89.7,19.6,45.9,4220.2,139.1,1055.7,2870.3,155.2
Arunachal Pradesh,1942,15.8,164.9,277.8,272.4,618.9,1182.6,457.5,438.9,357.6,8.7,32.1,1.1,3828.2,180.7,1169.1,2436.6,41.9
Arunachal Pradesh,1943,164.5,46.3,286.3,322.6,656.6,712.3,688.1,501,727.7,155.4,43,22.8,4326.7,210.8,1265.4,2629.2,221.3
